,Any,Codi_Barri,Codi_Districte,Domicilis,Nom_Barri,Nom_Districte,Ocupacio_ mitjana_(persones_per_domicili),Ocupacio_mitjana_(persones_ per_domicili),Poblacio
26,2008,27,5,12058,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.49,30003
20,2008,21,4,4147,Pedralbes,Les Corts,,2.78,11528
27,2008,28,6,6449,Vallcarca i els Penitents,Gràcia,,2.4,15506
29,2008,30,6,5383,la Salut,Gràcia,,2.45,13190
30,2008,31,6,23109,la Vila de Gràcia,Gràcia,,2.26,52301
31,2008,32,6,14906,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.35,34994
32,2008,33,7,10835,el Baix Guinardó,Horta-Guinardó,,2.41,26130
33,2008,34,7,3797,Can Baró,Horta-Guinardó,,2.42,9176
34,2008,35,7,14833,el Guinardó,Horta-Guinardó,,2.38,35375
28,2008,29,6,3052,el Coll,Gràcia,,2.38,7272
19,2008,20,4,9498,la Maternitat i Sant Ramon,Les Corts,,2.52,23897
18,2008,19,4,18831,les Corts,Les Corts,,2.53,47549
17,2008,18,3,17138,Sants,Sants-Montjuïc,,2.44,41766
1,2008,2,1,7056,el Barri Gòtic,Ciutat Vella,,3.47,24496
3,2008,4,1,10017,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.29,22988
4,2008,5,2,12950,el Fort Pienc,Eixample,,2.54,32865
5,2008,6,2,22295,la Sagrada Família,Eixample,,2.38,53010
6,2008,7,2,18217,la Dreta de l'Eixample,Eixample,,2.38,43409
7,2008,8,2,18186,l'Antiga Esquerra de l'Eixample,Eixample,,2.31,41964
8,2008,9,2,24569,la Nova Esquerra de l'Eixample,Eixample,,2.38,58481
9,2008,10,2,16511,Sant Antoni,Eixample,,2.33,38447
10,2008,11,3,16406,el Poble Sec,Sants-Montjuïc,,2.49,40919
11,2008,12,3,437,la Marina del Prat Vermell,Sants-Montjuïc,,2.54,1108
12,2008,13,3,11316,la Marina de Port,Sants-Montjuïc,,2.63,29719
13,2008,14,3,4187,la Font de la Guatlla,Sants-Montjuïc,,2.42,10145
14,2008,15,3,6528,Hostafrancs,Sants-Montjuïc,,2.45,15984
15,2008,16,3,7450,la Bordeta,Sants-Montjuïc,,2.51,18727
16,2008,17,3,9902,Sants - Badal,Sants-Montjuïc,,2.45,24259
35,2008,36,7,3665,la Font d'en Fargues,Horta-Guinardó,,2.62,9614
36,2008,37,7,12964,el Carmel,Horta-Guinardó,,2.55,33028
2,2008,3,1,7177,la Barceloneta,Ciutat Vella,,2.26,16222
38,2008,39,7,2885,Sant Genís dels Agudells,Horta-Guinardó,,2.49,7171
58,2008,59,9,4736,el Bon Pastor,Sant Andreu,,2.85,13474
59,2008,60,9,22313,Sant Andreu,Sant Andreu,,2.48,55353
60,2008,61,9,11453,la Sagrera,Sant Andreu,,2.52,28858
61,2008,62,9,5952,el Congrés i els Indians,Sant Andreu,,2.36,14067
62,2008,63,9,8687,Navas,Sant Andreu,,2.5,21676
37,2008,38,7,4560,la Teixonera,Horta-Guinardó,,2.5,11421
64,2008,65,10,10589,el Clot,Sant Martí,,2.57,27221
65,2008,66,10,5380,el Parc i la Llacuna del Poblenou,Sant Martí,,2.46,13248
66,2008,67,10,3377,la Vila Olímpica del Poblenou,Sant Martí,,2.65,8945
67,2008,68,10,12535,el Poblenou,Sant Martí,,2.47,30949
68,2008,69,10,4147,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.47,10243
69,2008,70,10,8319,el Besòs i el Maresme,Sant Martí,,2.89,24060
70,2008,71,10,7362,Provençals del Poblenou,Sant Martí,,2.57,18933
71,2008,72,10,10645,Sant Martí de Provençals,Sant Martí,,2.47,26263
72,2008,73,10,11483,la Verneda i la Pau,Sant Martí,,2.58,29651
57,2008,58,9,930,Baró de Viver,Sant Andreu,,2.59,2406
56,2008,57,9,3493,la Trinitat Vella,Sant Andreu,,3.0,10470
63,2008,64,10,16275,el Camp de l'Arpa del Clot,Sant Martí,,2.39,38852
54,2008,55,8,3721,Ciutat Meridiana,Nou Barris,,3.04,11324
39,2008,40,7,2129,Montbau,Horta-Guinardó,,2.42,5156
55,2008,56,8,468,Vallbona,Nou Barris,,2.76,1290
40,2008,41,7,2119,la Vall d'Hebron,Horta-Guinardó,,2.63,5578
41,2008,42,7,183,la Clota,Horta-Guinardó,,2.49,456
42,2008,43,7,10705,Horta,Horta-Guinardó,,2.59,27730
44,2008,45,8,9797,Porta,Nou Barris,,2.42,23745
45,2008,46,8,6137,el Turó de la Peira,Nou Barris,,2.65,16290
43,2008,44,8,10432,Vilapicina i la Torre Llobeta,Nou Barris,,2.48,25916
47,2008,48,8,6215,la Guineueta,Nou Barris,,2.47,15330
48,2008,49,8,2803,Canyelles,Nou Barris,,2.67,7481
49,2008,50,8,5939,les Roquetes,Nou Barris,,2.72,16133
50,2008,51,8,5040,Verdun,Nou Barris,,2.47,12433
51,2008,52,8,10690,la Prosperitat,Nou Barris,,2.51,26865
52,2008,53,8,3198,la Trinitat Nova,Nou Barris,,2.54,8110
53,2008,54,8,690,Torre Baró,Nou Barris,,3.12,2153
46,2008,47,8,862,Can Peguera,Nou Barris,,2.48,2137
24,2009,25,5,9075,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.67,24270
20,2009,21,4,4223,Pedralbes,Les Corts,,2.76,11650
21,2009,22,5,1454,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.95,4295
22,2009,23,5,8704,Sarrià,Sarrià-Sant Gervasi,,2.73,23802
23,2009,24,5,5510,les Tres Torres,Sarrià-Sant Gervasi,,2.87,15832
25,2009,26,5,18461,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.54,46829
33,2009,34,7,3774,Can Baró,Horta-Guinardó,,2.43,9159
27,2009,28,6,6510,Vallcarca i els Penitents,Gràcia,,2.41,15687
28,2009,29,6,3069,el Coll,Gràcia,,2.38,7299
29,2009,30,6,5436,la Salut,Gràcia,,2.45,13332
30,2009,31,6,23141,la Vila de Gràcia,Gràcia,,2.28,52801
31,2009,32,6,14900,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.34,34838
32,2009,33,7,10894,el Baix Guinardó,Horta-Guinardó,,2.41,26287
26,2009,27,5,12242,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.49,30461
19,2009,20,4,9544,la Maternitat i Sant Ramon,Les Corts,,2.51,23954
2,2009,3,1,7233,la Barceloneta,Ciutat Vella,,2.26,16351
17,2009,18,3,17286,Sants,Sants-Montjuïc,,2.46,42438
34,2009,35,7,15039,el Guinardó,Horta-Guinardó,,2.38,35836
3,2009,4,1,10068,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.3,23136
4,2009,5,2,13038,el Fort Pienc,Eixample,,2.55,33202
5,2009,6,2,22311,la Sagrada Família,Eixample,,2.37,52890
6,2009,7,2,18287,la Dreta de l'Eixample,Eixample,,2.38,43609
7,2009,8,2,18253,l'Antiga Esquerra de l'Eixample,Eixample,,2.31,42183
8,2009,9,2,24570,la Nova Esquerra de l'Eixample,Eixample,,2.38,58559
9,2009,10,2,16554,Sant Antoni,Eixample,,2.34,38742
10,2009,11,3,16436,el Poble Sec,Sants-Montjuïc,,2.5,41018
11,2009,12,3,424,la Marina del Prat Vermell,Sants-Montjuïc,,2.56,1085
12,2009,13,3,11453,la Marina de Port,Sants-Montjuïc,,2.63,30128
13,2009,14,3,4249,la Font de la Guatlla,Sants-Montjuïc,,2.43,10336
14,2009,15,3,6573,Hostafrancs,Sants-Montjuïc,,2.47,16208
15,2009,16,3,7486,la Bordeta,Sants-Montjuïc,,2.51,18823
16,2009,17,3,9972,Sants - Badal,Sants-Montjuïc,,2.46,24507
18,2009,19,4,18934,les Corts,Les Corts,,2.52,47664
35,2009,36,7,3686,la Font d'en Fargues,Horta-Guinardó,,2.61,9608
71,2009,72,10,10689,Sant Martí de Provençals,Sant Martí,,2.48,26457
37,2009,38,7,4592,la Teixonera,Horta-Guinardó,,2.5,11494
58,2009,59,9,4768,el Bon Pastor,Sant Andreu,,2.9,13808
59,2009,60,9,22567,Sant Andreu,Sant Andreu,,2.47,55813
60,2009,61,9,11559,la Sagrera,Sant Andreu,,2.51,29002
61,2009,62,9,5949,el Congrés i els Indians,Sant Andreu,,2.37,14111
62,2009,63,9,8772,Navas,Sant Andreu,,2.49,21858
63,2009,64,10,16373,el Camp de l'Arpa del Clot,Sant Martí,,2.38,38917
57,2009,58,9,943,Baró de Viver,Sant Andreu,,2.52,2372
64,2009,65,10,10732,el Clot,Sant Martí,,2.57,27562
66,2009,67,10,3443,la Vila Olímpica del Poblenou,Sant Martí,,2.67,9202
67,2009,68,10,12713,el Poblenou,Sant Martí,,2.47,31433
68,2009,69,10,4559,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.44,11132
69,2009,70,10,8416,el Besòs i el Maresme,Sant Martí,,2.91,24527
70,2009,71,10,7618,Provençals del Poblenou,Sant Martí,,2.57,19542
72,2009,73,10,11517,la Verneda i la Pau,Sant Martí,,2.57,29626
65,2009,66,10,5478,el Parc i la Llacuna del Poblenou,Sant Martí,,2.46,13457
56,2009,57,9,3495,la Trinitat Vella,Sant Andreu,,3.03,10574
55,2009,56,8,479,Vallbona,Nou Barris,,2.74,1314
54,2009,55,8,3703,Ciutat Meridiana,Nou Barris,,3.07,11355
38,2009,39,7,2937,Sant Genís dels Agudells,Horta-Guinardó,,2.46,7228
39,2009,40,7,2165,Montbau,Horta-Guinardó,,2.43,5261
40,2009,41,7,2164,la Vall d'Hebron,Horta-Guinardó,,2.6,5618
41,2009,42,7,184,la Clota,Horta-Guinardó,,2.61,480
42,2009,43,7,10758,Horta,Horta-Guinardó,,2.59,27909
43,2009,44,8,10468,Vilapicina i la Torre Llobeta,Nou Barris,,2.48,25957
44,2009,45,8,9899,Porta,Nou Barris,,2.42,23993
45,2009,46,8,6167,el Turó de la Peira,Nou Barris,,2.69,16593
46,2009,47,8,911,Can Peguera,Nou Barris,,2.43,2210
47,2009,48,8,6237,la Guineueta,Nou Barris,,2.47,15411
48,2009,49,8,2802,Canyelles,Nou Barris,,2.63,7359
49,2009,50,8,5969,les Roquetes,Nou Barris,,2.72,16233
50,2009,51,8,5059,Verdun,Nou Barris,,2.45,12418
51,2009,52,8,10700,la Prosperitat,Nou Barris,,2.51,26848
52,2009,53,8,3147,la Trinitat Nova,Nou Barris,,2.56,8070
36,2009,37,7,13007,el Carmel,Horta-Guinardó,,2.54,33081
53,2009,54,8,700,Torre Baró,Nou Barris,,3.14,2200
0,2009,1,1,17539,el Raval,Ciutat Vella,,2.81,49315
1,2009,2,1,7101,el Barri Gòtic,Ciutat Vella,,2.96,21045
51,2010,52,8,10752,la Prosperitat,Nou Barris,,2.49,26749
50,2010,51,8,5094,Verdun,Nou Barris,,2.43,12398
49,2010,50,8,5996,les Roquetes,Nou Barris,,2.7,16178
48,2010,49,8,2808,Canyelles,Nou Barris,,2.61,7322
47,2010,48,8,6242,la Guineueta,Nou Barris,,2.45,15268
46,2010,47,8,916,Can Peguera,Nou Barris,,2.46,2250
45,2010,46,8,6255,el Turó de la Peira,Nou Barris,,2.71,16932
44,2010,45,8,9939,Porta,Nou Barris,,2.4,23809
43,2010,44,8,10443,Vilapicina i la Torre Llobeta,Nou Barris,,2.46,25666
42,2010,43,7,10804,Horta,Horta-Guinardó,,2.58,27825
41,2010,42,7,183,la Clota,Horta-Guinardó,,2.46,451
40,2010,41,7,2220,la Vall d'Hebron,Horta-Guinardó,,2.54,5630
39,2010,40,7,2164,Montbau,Horta-Guinardó,,2.4,5199
38,2010,39,7,2915,Sant Genís dels Agudells,Horta-Guinardó,,2.42,7060
37,2010,38,7,4646,la Teixonera,Horta-Guinardó,,2.47,11481
52,2010,53,8,3099,la Trinitat Nova,Nou Barris,,2.52,7815
36,2010,37,7,13005,el Carmel,Horta-Guinardó,,2.52,32753
35,2010,36,7,3695,la Font d'en Fargues,Horta-Guinardó,,2.59,9585
55,2010,56,8,483,Vallbona,Nou Barris,,2.78,1342
70,2010,71,10,7781,Provençals del Poblenou,Sant Martí,,2.52,19636
69,2010,70,10,8443,el Besòs i el Maresme,Sant Martí,,2.89,24403
68,2010,69,10,4915,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.39,11730
67,2010,68,10,12987,el Poblenou,Sant Martí,,2.46,31961
66,2010,67,10,3497,la Vila Olímpica del Poblenou,Sant Martí,,2.65,9275
65,2010,66,10,5569,el Parc i la Llacuna del Poblenou,Sant Martí,,2.47,13728
64,2010,65,10,10794,el Clot,Sant Martí,,2.55,27505
63,2010,64,10,16363,el Camp de l'Arpa del Clot,Sant Martí,,2.35,38399
62,2010,63,9,8808,Navas,Sant Andreu,,2.46,21699
61,2010,62,9,5944,el Congrés i els Indians,Sant Andreu,,2.35,13977
60,2010,61,9,11663,la Sagrera,Sant Andreu,,2.5,29117
59,2010,60,9,22854,Sant Andreu,Sant Andreu,,2.44,55813
58,2010,59,9,4764,el Bon Pastor,Sant Andreu,,2.91,13846
57,2010,58,9,933,Baró de Viver,Sant Andreu,,2.52,2353
56,2010,57,9,3475,la Trinitat Vella,Sant Andreu,,3.03,10544
54,2010,55,8,3670,Ciutat Meridiana,Nou Barris,,3.03,11121
53,2010,54,8,698,Torre Baró,Nou Barris,,3.1,2166
72,2010,73,10,11501,la Verneda i la Pau,Sant Martí,,2.55,29385
33,2010,34,7,3785,Can Baró,Horta-Guinardó,,2.39,9034
13,2010,14,3,4293,la Font de la Guatlla,Sants-Montjuïc,,2.4,10310
12,2010,13,3,11550,la Marina de Port,Sants-Montjuïc,,2.61,30134
11,2010,12,3,426,la Marina del Prat Vermell,Sants-Montjuïc,,2.51,1069
10,2010,11,3,16445,el Poble Sec,Sants-Montjuïc,,2.5,41138
9,2010,10,2,16584,Sant Antoni,Eixample,,2.32,38414
8,2010,9,2,24684,la Nova Esquerra de l'Eixample,Eixample,,2.36,58247
7,2010,8,2,18257,l'Antiga Esquerra de l'Eixample,Eixample,,2.3,42076
6,2010,7,2,18330,la Dreta de l'Eixample,Eixample,,2.37,43473
5,2010,6,2,22353,la Sagrada Família,Eixample,,2.35,52424
4,2010,5,2,13046,el Fort Pienc,Eixample,,2.52,32900
3,2010,4,1,10170,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.27,23101
2,2010,3,1,7243,la Barceloneta,Ciutat Vella,,2.25,16261
1,2010,2,1,7128,el Barri Gòtic,Ciutat Vella,,2.63,18720
0,2010,1,1,17608,el Raval,Ciutat Vella,,2.77,48767
71,2010,72,10,10689,Sant Martí de Provençals,Sant Martí,,2.46,26281
14,2010,15,3,6600,Hostafrancs,Sants-Montjuïc,,2.43,16062
34,2010,35,7,15103,el Guinardó,Horta-Guinardó,,2.37,35803
15,2010,16,3,7481,la Bordeta,Sants-Montjuïc,,2.48,18519
17,2010,18,3,17476,Sants,Sants-Montjuïc,,2.44,42568
32,2010,33,7,10912,el Baix Guinardó,Horta-Guinardó,,2.39,26123
31,2010,32,6,14945,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.32,34681
30,2010,31,6,23340,la Vila de Gràcia,Gràcia,,2.25,52586
29,2010,30,6,5430,la Salut,Gràcia,,2.44,13267
28,2010,29,6,3089,el Coll,Gràcia,,2.35,7271
27,2010,28,6,6470,Vallcarca i els Penitents,Gràcia,,2.39,15436
26,2010,27,5,12312,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.48,30566
25,2010,26,5,18493,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.51,46478
24,2010,25,5,9158,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.65,24307
23,2010,24,5,5550,les Tres Torres,Sarrià-Sant Gervasi,,2.85,15807
22,2010,23,5,8837,Sarrià,Sarrià-Sant Gervasi,,2.72,24028
21,2010,22,5,1485,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.92,4340
20,2010,21,4,4276,Pedralbes,Les Corts,,2.75,11758
19,2010,20,4,9583,la Maternitat i Sant Ramon,Les Corts,,2.49,23818
18,2010,19,4,19049,les Corts,Les Corts,,2.5,47635
16,2010,17,3,10028,Sants - Badal,Sants-Montjuïc,,2.44,24470
71,2011,72,10,10707,Sant Martí de Provençals,Sant Martí,,2.44,26178
72,2011,73,10,11482,la Verneda i la Pau,Sant Martí,,2.54,29131
18,2011,19,4,19004,les Corts,Les Corts,,2.47,46953
20,2011,21,4,4238,Pedralbes,Les Corts,,2.74,11629
21,2011,22,5,1494,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.91,4355
22,2011,23,5,8809,Sarrià,Sarrià-Sant Gervasi,,2.74,24153
23,2011,24,5,5518,les Tres Torres,Sarrià-Sant Gervasi,,2.85,15700
24,2011,25,5,9178,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.66,24432
25,2011,26,5,18405,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.51,46207
19,2011,20,4,9585,la Maternitat i Sant Ramon,Les Corts,,2.48,23758
26,2011,27,5,12245,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.45,29941
28,2011,29,6,3104,el Coll,Gràcia,,2.35,7296
29,2011,30,6,5434,la Salut,Gràcia,,2.43,13199
30,2011,31,6,23218,la Vila de Gràcia,Gràcia,,2.2,51037
31,2011,32,6,14916,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.31,34497
32,2011,33,7,10904,el Baix Guinardó,Horta-Guinardó,,2.38,25972
33,2011,34,7,3771,Can Baró,Horta-Guinardó,,2.38,8984
27,2011,28,6,6448,Vallcarca i els Penitents,Gràcia,,2.39,15396
34,2011,35,7,15127,el Guinardó,Horta-Guinardó,,2.36,35673
17,2011,18,3,17417,Sants,Sants-Montjuïc,,2.39,41666
15,2011,16,3,7476,la Bordeta,Sants-Montjuïc,,2.47,18431
1,2011,2,1,7012,el Barri Gòtic,Ciutat Vella,,2.46,17257
2,2011,3,1,7133,la Barceloneta,Ciutat Vella,,2.2,15674
3,2011,4,1,10043,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.25,22632
4,2011,5,2,12965,el Fort Pienc,Eixample,,2.5,32348
5,2011,6,2,22337,la Sagrada Família,Eixample,,2.33,52000
6,2011,7,2,18194,la Dreta de l'Eixample,Eixample,,2.37,43206
16,2011,17,3,10050,Sants - Badal,Sants-Montjuïc,,2.43,24431
7,2011,8,2,18124,l'Antiga Esquerra de l'Eixample,Eixample,,2.3,41653
9,2011,10,2,16540,Sant Antoni,Eixample,,2.31,38130
10,2011,11,3,16387,el Poble Sec,Sants-Montjuïc,,2.48,40704
11,2011,12,3,427,la Marina del Prat Vermell,Sants-Montjuïc,,2.49,1065
12,2011,13,3,11574,la Marina de Port,Sants-Montjuïc,,2.62,30290
13,2011,14,3,4286,la Font de la Guatlla,Sants-Montjuïc,,2.38,10222
14,2011,15,3,6591,Hostafrancs,Sants-Montjuïc,,2.42,15955
8,2011,9,2,24582,la Nova Esquerra de l'Eixample,Eixample,,2.35,57659
35,2011,36,7,3691,la Font d'en Fargues,Horta-Guinardó,,2.57,9495
0,2011,1,1,17409,el Raval,Ciutat Vella,,2.79,48485
37,2011,38,7,4658,la Teixonera,Horta-Guinardó,,2.45,11420
56,2011,57,9,3461,la Trinitat Vella,Sant Andreu,,3.0,10372
57,2011,58,9,932,Baró de Viver,Sant Andreu,,2.51,2343
58,2011,59,9,4738,el Bon Pastor,Sant Andreu,,2.82,13374
59,2011,60,9,23003,Sant Andreu,Sant Andreu,,2.43,55902
60,2011,61,9,11695,la Sagrera,Sant Andreu,,2.49,29136
62,2011,63,9,8805,Navas,Sant Andreu,,2.47,21758
63,2011,64,10,16308,el Camp de l'Arpa del Clot,Sant Martí,,2.33,37957
64,2011,65,10,10768,el Clot,Sant Martí,,2.52,27114
65,2011,66,10,5627,el Parc i la Llacuna del Poblenou,Sant Martí,,2.45,13772
66,2011,67,10,3485,la Vila Olímpica del Poblenou,Sant Martí,,2.64,9191
67,2011,68,10,13146,el Poblenou,Sant Martí,,2.45,32208
68,2011,69,10,5053,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.43,12289
69,2011,70,10,8442,el Besòs i el Maresme,Sant Martí,,2.84,23998
70,2011,71,10,7823,Provençals del Poblenou,Sant Martí,,2.52,19732
36,2011,37,7,12961,el Carmel,Horta-Guinardó,,2.5,32425
55,2011,56,8,481,Vallbona,Nou Barris,,2.87,1381
54,2011,55,8,3650,Ciutat Meridiana,Nou Barris,,2.97,10832
61,2011,62,9,5966,el Congrés i els Indians,Sant Andreu,,2.36,14063
53,2011,54,8,699,Torre Baró,Nou Barris,,3.14,2193
39,2011,40,7,2175,Montbau,Horta-Guinardó,,2.39,5191
40,2011,41,7,2208,la Vall d'Hebron,Horta-Guinardó,,2.53,5580
41,2011,42,7,182,la Clota,Horta-Guinardó,,2.59,472
42,2011,43,7,10781,Horta,Horta-Guinardó,,2.53,27312
43,2011,44,8,10415,Vilapicina i la Torre Llobeta,Nou Barris,,2.45,25515
44,2011,45,8,10086,Porta,Nou Barris,,2.47,24909
45,2011,46,8,6136,el Turó de la Peira,Nou Barris,,2.49,15270
38,2011,39,7,2897,Sant Genís dels Agudells,Horta-Guinardó,,2.41,6977
47,2011,48,8,6242,la Guineueta,Nou Barris,,2.45,15294
48,2011,49,8,2807,Canyelles,Nou Barris,,2.55,7170
